lng,lat
-5.5298,50.1184
-5.4729,49.97
-5.4245,49.9531
-5.4547,49.9296
-5.4395,49.9052
-5.5027,49.8818
-5.5997,49.8514
-5.5938,49.8613
-5.5634,49.8608
-5.5683,49.8794
-5.5956,49.8439
-5.6588,49.7907
-5.6242,49.7535
-5.6219,49.7142
-5.5232,49.7102
-5.5442,49.6252
-5.5372,49.53
-5.5598,49.4448
-5.7037,49.265
-5.6865,49.2737
-5.7943,49.294
-5.7785,49.3248
-5.7264,49.3234
-5.7774,49.336
-5.8825,49.3682
-5.9976,49.3347
-6.0996,49.2905
-6.0661,49.2912
-6.2305,49.1933
-6.2089,49.174
-6.2316,49.1373
-6.2692,49.1256
-6.2691,49.0489
-6.2152,49.0158
-6.1533,48.974
-6.1833,48.9768
-6.1771,48.9369
-6.2737,48.9426
-6.2572,48.933
-6.3903,48.8932
-6.3693,48.8611
-6.3866,48.8808
-6.3879,48.8335
-6.4788,48.8037
-6.4884,48.718
-6.4514,48.6687
-6.3853,48.5786
-6.3993,48.5141
-6.3844,48.4762
-6.4009,48.4316
-6.4107,48.4569
-6.3312,48.512
-6.2301,48.5334
-6.1572,48.545
-6.0119,48.505
-5.8719,48.5135
-5.8515,48.627
-5.5048,48.6599
-5.3645,48.7123
-5.3011,48.6989
-5.1915,48.714
-5.2499,48.6476
-5.1081,48.714
-5.1499,48.6527
-5.0616,48.7553
-4.9533,48.8524
-4.8561,48.914
-4.7572,48.9914
-4.7128,49.0028
-4.7356,48.9666
-4.6227,48.9575
-4.6158,48.8562
-4.5427,48.8506
-4.5477,48.8072
-4.4158,48.8316
-4.3674,48.7663
-4.2283,48.7728
-4.3021,48.754
-4.3621,48.7395
-4.3806,48.7318
-4.4016,48.7202
-4.3866,48.742
-4.4848,48.8105
-4.6284,48.8612
-4.9215,48.8961
-4.9591,48.8765
-4.8113,48.9259
-4.6606,48.9256
-4.5403,49.0921
-4.3375,49.0772
-4.1853,49.1549
-3.9643,49.1994
-3.7729,49.1675
-3.6084,49.171
-3.5935,49.1677
-3.7493,49.2287
-3.6753,49.3304
-3.2823,49.4251
-2.769,49.5198
-2.5558,49.5954
-2.3652,49.7794
-2.4257,49.6263
-2.434,49.6432
-2.5714,49.701
-2.4371,49.7015
-2.5226,49.6054
-2.5213,49.674
-2.4443,49.6497
-2.4896,49.6266
-2.1952,49.5816
-1.9241,49.5732
-1.9219,49.5184
-1.8455,49.5833
-1.8427,49.5833
